Infraction_State,Violations_Count,Total_ticket_value
SC,176221,31826551.417907715
RO,39316,8949751.869819641
PI,36093,9803574.492835999
AM,9937,2513918.8187026978
RR,4691,1291969.0308990479
GO,84575,19255602.53855896
TO,21490,4674377.153640747
MT,176889,33616812.53793335
SP,157641,32599092.958992004
PB,35019,8708928.317947388
ES,185153,30795825.221458435
RS,128220,26249316.462020874
MS,126676,22853033.5907135
AL,15896,3779772.4871139526
MG,207213,41354245.127700806
PA,32828,7956850.203414917
BA,144563,27010249.430786133
SE,15336,3624113.133239746
PE,58696,15618455.007583618
CE,43682,9369455.731994629
RN,45264,11317548.171821594
RJ,128608,34350293.9141922
MA,29117,8587768.229804993
AC,4365,1103112.5629959106
DF,58995,11551290.018287659
PR,131415,28553679.22036743
AP,7831,2372301.443649292
