Infraction_State,Violations_Count,%violations_Count,cumulative_sum
MG,207213,0.09840435383453719,0.09840435383453719
ES,185153,0.0879281769267665,0.18633253076130368
MT,176889,0.08400364719123535,0.27033617795253906
SC,176221,0.0836864175369112,0.35402259548945025
SP,157641,0.07486287415765554,0.4288854696471058
BA,144563,0.06865220137434525,0.497537671021451
PR,131415,0.062408285962587795,0.5599459569840388
RJ,128608,0.06107525656185741,0.6210212135458962
RS,128220,0.06089099742132182,0.6819122109672181
MS,126676,0.06015776001671629,0.7420699709839343
GO,84575,0.04016421858452888,0.7822341895684632
DF,58995,0.028016412360559045,0.8102506019290223
PE,58696,0.02787441884762054,0.8381250207766429
RN,45264,0.021495633343306123,0.859620654119949
CE,43682,0.020744349940400718,0.8803650040603498
RO,39316,0.01867095971468327,0.899035963775033
PI,36093,0.01714037412203844,0.9161763378970714
PB,35019,0.01663033722272086,0.9328066751197923
PA,32828,0.015589842952325322,0.9483965180721177
MA,29117,0.013827508749934702,0.9622240268220523
TO,21490,0.010205486933272548,0.9724295137553248
AL,15896,0.007548926025653812,0.9799784397809786
SE,15336,0.007282984998076676,0.9872614247790553
AM,9937,0.004719028555417836,0.9919804533344732
AP,7831,0.0037189003338509684,0.9956993536683241
RR,4691,0.0022277310006506056,0.9979270846689747
AC,4365,0.002072915331025345,1.0
